originator;operator_group_id
IQOption;1
Bunasta;1
Wari;1
Alcatel;1
AIR ASTANA;1
OTP;1
Ezviz;1
DSX;1
Dmarket;1
YunGO;1
WellGot;1
RHBank;1
Pincd;1
Msgbrd;1
Mcconcierge;1
GLOVent;1
 BOTIMS;1
MessageBird;1
MegaChat;1
BITHUMB;1
MashreqBank;1
SBIINB;1
Blizzard;1
Dropbox;1
Forex4you;1
Meetme;1
Skout;1
BUTB.BY;1
ECP.BY;1
MiTalk;1
EA;1
MOBILNIK.KG;1
HEPSICEBNDE;1
Fayrix;1
INANOMO;1
PushMe;1
LIKE;1
ProNet;1
UNIBANK ;1
iDiscount;1
Bookitnet;1
LUMINOR;1
Ding;1
EniNews;1
Just2Trade;1
 Microsoft;1
Shell;1
BaltIntBank;1
Bank.M2M.EU;1
Rigensis;1
iR-sms;1
Alfaparcel;1
HotSpotVPN;1
izobility;1
ErsteBank;1
Modem2ls;1
VoxTorrent;1
Smsimapp;1
Looksery;1
minutta;1
izyskanije;1
MusicMsgr;1
Nymgo;1
Marathonbet;1
Titanium, fly.me;1
WISPI;1
BLINDSPOT;1
PDapp;1
OrNot;1
BBM;1
Youroam;1
Adjarabet;1
Jollychic;1
INGRAD;1
WinLine;1
Eseye;1
Adobe;1
Backblaze Inc.;1
Zzzzz.by;1
12.by;1
1bags.by;1
Adentina.by;1
Alfatron.by;1
Alloplus.by;1
Ananas.by;1
Aromir.by;1
Astravit.by;1
Belkomfort;1
Belvti.com;1
Beregeja.by;1
Betp.by;1
BOBR.by;1
Bobrio.com;1
Bookhole.by;1
Bykhov.by;1
Comandir.by;1
Deloton.by;1
Dimoha.by;1
Dinamed.by;1
Doggydog.by;1
Dostavim.by;1
Driant.by;1
Dtshop.by;1
Erydit.by;1
Golden.by;1
Goldmark.by;1
HelpdeskBY;1
Hotimsk.by;1
Idinasvetby;1
Inex.by;1
iqarenda.by;1
Ivacevdrev;1
Kamaev.by;1
Kirovsk.by;1
Kroy.bel;1
Kypi-tut.by;1
Lovifish.by;1
Lu4she.bel;1
Malam.by;1
Media.by;1
Medtut.bel;1
Minoblsantr;1
Modnyytrakt;1
Mtex.by;1
Mybrands.by;1
Mylo.by;1
MySoligorsk;1
Ofisdom.by;1
Paperapress;1
Pekidoma.by;1
Perevedi.by;1
Polese.by;1
Pshop.by;1
Rn-profi.by;1
Savish.by;1
Sekator.by;1
Selaton.by;1
Siger.by;1
Smartdom.by;1
Smart-minsk;1
Stomost.by;1
Tea4u.by;1
Telepult.by;1
T-yarn.by;1
Vam-svet.by;1
Vanechka.by;1
Voengrad.by;1
Websvet.by;1
Weekend.by;1
OrangeMD;1
Digi;1
Vodafone;1
DenizBank;1
AEROBILET;1
KUVEYTTURK;1
Cryptaur;1
BeeRent;1
RingCaptcha;1
Paymoney;1
EsteriaINFO;1
Medcentras;1
Transporeon;1
UKCamp;1
Mango;1
Dreamlines;1
Involatus;1
RETN;1
Coinbase;1
eBay;1
GOOSEberry;1
forspo.com;1
Phone Code;1
MeinFernbus;1
gg_sms;1
gg_info;1
HKAirlines;1
HK Airlines;1
StanChart;1
Girteka;1
Kuhni_Bel;1
SMSvinjetes;1
LOCALETH;1
WUListens;1
autobrit.by;1
GRK_M-1;1
KRC.KORONA;1
EUROdengi;1
Eobot;1
EcoTaxi.kz;1
StartTaxikz;1
Ofree;1
ROYAL_MINSK;1
uTrader;1
ROZA;1
AYKAMA;1
PHOTODEMY;1
GOLDCOACH;1
Moneyto;1
QCLOUD;1
MaxiTrade;1
Phone CodeG;1
CloudCom;1
LTsms;1
InterFly;1
Leonbets;1
FNB;1
RoyalPay;1
REMEXIM;1
Classerium;1
Binance;1
Vialet;1
SGBL.SMS;1
Qunar;1
Qunar12;1
Qunar20;1
Qunar2034;1
Qunar2142;1
Qunar2151;1
Qunar2153;1
Qunar2666;1
Qunar2797;1
Qunar3;1
Qunar4391;1
Qunar4537;1
Qunar4953;1
Qunar5013;1
Qunar5406;1
Qunar5410;1
Qunar5465;1
Qunar5701;1
Qunar5811;1
Qunar6081;1
Qunar6114;1
Qunar6255;1
A.Karpeko;1
FastWeb;1
TWApp;1
ZEGNA;1
ELBANK SAL;1
YY.COM;1
IQ+Option;1
IQ_Option;1
